priority,target_id,family,failure_type,probability,probe_name,probe_instruction,expected_feature,phase
28,nexus_non_vulnerable,nexus,false_positive,0.3717,nexus_version,curl service/rest or status endpoints,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
29,nexus_non_vulnerable,nexus,false_positive,0.3717,nexus_anonymous_access,curl repository/API endpoints,anonymous_access/auth_required,targeted_precondition_precheck
30,nexus_non_vulnerable,nexus,false_positive,0.3717,nexus_endpoint_behavior,curl vulnerable endpoint candidates,endpoint_reachable_count/endpoint_missing_count,targeted_precondition_precheck
31,nginx_121_non_vulnerable,nginx,false_positive,0.3144,nginx_version,curl -I and whatweb,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
32,nginx_121_non_vulnerable,nginx,false_positive,0.3144,nginx_range_probe,safe Range header request,range_behavior_vulnerable/range_behavior_safe,targeted_precondition_precheck
33,nginx_121_non_vulnerable,nginx,false_positive,0.3144,nginx_default_paths,curl default/static paths,endpoint_reachable_count/endpoint_missing_count,targeted_precondition_precheck
34,nginx_non_vulnerable,nginx,false_positive,0.2487,nginx_version,curl -I and whatweb,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
35,nginx_non_vulnerable,nginx,false_positive,0.2487,nginx_range_probe,safe Range header request,range_behavior_vulnerable/range_behavior_safe,targeted_precondition_precheck
36,nginx_non_vulnerable,nginx,false_positive,0.2487,nginx_default_paths,curl default/static paths,endpoint_reachable_count/endpoint_missing_count,targeted_precondition_precheck
37,phpmyadmin_non_vulnerable,phpmyadmin,false_positive,0.368,phpmyadmin_version,curl root/login page and whatweb,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
38,phpmyadmin_non_vulnerable,phpmyadmin,false_positive,0.368,phpmyadmin_auth_behavior,curl setup/import endpoints,auth_required/no_auth_required,targeted_precondition_precheck
39,phpmyadmin_non_vulnerable,phpmyadmin,false_positive,0.368,phpmyadmin_endpoint_presence,curl known route candidates,endpoint_reachable_count/endpoint_missing_count,targeted_precondition_precheck
40,redis_auth_non_vulnerable,redis,false_positive,0.3265,redis_auth_required,redis-cli PING/INFO with short timeout,auth_required/no_auth_required,targeted_precondition_precheck
41,redis_auth_non_vulnerable,redis,false_positive,0.3265,redis_lua_available,safe EVAL return probe without writing data,lua_available/lua_blocked,targeted_precondition_precheck
42,redis_auth_non_vulnerable,redis,false_positive,0.3265,redis_version,redis-cli INFO server,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
43,redis_non_vulnerable,redis,false_positive,0.382,redis_auth_required,redis-cli PING/INFO with short timeout,auth_required/no_auth_required,targeted_precondition_precheck
44,redis_non_vulnerable,redis,false_positive,0.382,redis_lua_available,safe EVAL return probe without writing data,lua_available/lua_blocked,targeted_precondition_precheck
45,redis_non_vulnerable,redis,false_positive,0.382,redis_version,redis-cli INFO server,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
46,shiro_non_vulnerable,shiro,false_positive,0.3402,shiro_rememberme_cookie,curl with rememberMe probe and inspect Set-Cookie,rememberme_cookie_behavior,targeted_precondition_precheck
47,shiro_non_vulnerable,shiro,false_positive,0.3402,shiro_auth_page,curl protected/common paths,auth_required/no_auth_required,targeted_precondition_precheck
48,shiro_non_vulnerable,shiro,false_positive,0.3402,shiro_version_hint,whatweb/http headers/title,version_or_product_hint,targeted_precondition_precheck
49,solr_non_vulnerable,solr,false_positive,0.3433,solr_admin_reachable,curl /solr/admin/info/system,admin_path_found/admin_access_blocked,targeted_precondition_precheck
50,solr_non_vulnerable,solr,false_positive,0.3433,solr_velocity_enabled,curl config request for VelocityResponseWriter,velocity_enabled/velocity_disabled,targeted_precondition_precheck
51,solr_non_vulnerable,solr,false_positive,0.3433,solr_core_discovered,curl /solr/admin/cores,solr_core_found/solr_core_missing,targeted_precondition_precheck
52,spring_non_vulnerable,spring,false_positive,0.3505,spring_fingerprint,curl error pages/headers/actuator candidates,spring_detected/spring_not_detected,targeted_precondition_precheck
53,spring_non_vulnerable,spring,false_positive,0.3505,spring_actuator,curl /actuator and /actuator/env,actuator_path_found/actuator_path_missing,targeted_precondition_precheck
54,spring_non_vulnerable,spring,false_positive,0.3505,spring_classloader_probe,safe classloader parameter behavior check,spring_precondition_pass/spring_precondition_fail,targeted_precondition_precheck
55,thinkphp_non_vulnerable,thinkphp,false_positive,0.3336,thinkphp_invokefunction,curl safe invokefunction endpoint reachability,invokefunction_reachable/invokefunction_not_found,targeted_precondition_precheck
56,thinkphp_non_vulnerable,thinkphp,false_positive,0.3336,thinkphp_error_fingerprint,curl malformed route and inspect framework error,thinkphp_detected/wrong_software_type,targeted_precondition_precheck
57,thinkphp_non_vulnerable,thinkphp,false_positive,0.3336,thinkphp_version_hint,whatweb/http headers/title,version_or_product_hint,targeted_precondition_precheck
58,tomcat_non_vulnerable,tomcat,false_positive,0.4395,tomcat_put_allowed,curl OPTIONS/PUT against a harmless temp path,method_put_allowed/method_put_rejected,targeted_precondition_precheck
59,tomcat_non_vulnerable,tomcat,false_positive,0.4395,tomcat_ajp_open,nmap -sT -Pn or nc connect to 8009,ajp_port_open/ajp_port_closed,targeted_precondition_precheck
60,tomcat_non_vulnerable,tomcat,false_positive,0.4395,tomcat_version,curl headers/title/docs and whatweb,version_patched/version_in_vulnerable_range_true,targeted_precondition_precheck
